dataset,metric,metric_n,threshold,classifier,n_classes,total_samples,cv_1,cv_2,cv_3,cv_4,cv_5,cv_6,cv_7,cv_8,cv_9,cv_10,average
chromium,top_n,1,0,bow_mnb,1598,11864,0.01516428,0.0168492,0.025273799,0.0126369,0.02529511,0.020236088,0.022765599,0.021922428,0.017706577,0.018549747,0.019639973
chromium,top_n,10,0,bow_mnb,1598,11864,0.104465038,0.104465038,0.108677338,0.099410278,0.115514334,0.110455312,0.101180438,0.098650927,0.112984823,0.102866779,0.105867031
chromium,top_n,1,5,bow_mnb,688,10092,0.026732673,0.020792079,0.019821606,0.012884044,0.022794846,0.028741328,0.018830525,0.027750248,0.030723489,0.023785927,0.023285676
chromium,top_n,10,5,bow_mnb,688,10092,0.128712871,0.121782178,0.10604559,0.104063429,0.116947473,0.115956392,0.131813677,0.132804757,0.125867195,0.121902874,0.120589644
chromium,top_n,1,10,bow_mnb,369,7977,0.023809524,0.026315789,0.035087719,0.030075188,0.030075188,0.036340852,0.020050125,0.031367629,0.025094103,0.021329987,0.02795461
chromium,top_n,10,10,bow_mnb,369,7977,0.151629073,0.15037594,0.149122807,0.140350877,0.161654135,0.169172932,0.156641604,0.161856964,0.146800502,0.119196989,0.150680182
chromium,top_n,1,20,bow_mnb,157,5109,0.052837573,0.043052838,0.031311155,0.066536204,0.035225049,0.025440313,0.033268102,0.035225049,0.031311155,0.050980392,0.040518783
chromium,top_n,10,20,bow_mnb,157,5109,0.236790607,0.244618395,0.207436399,0.254403131,0.225048924,0.205479452,0.250489237,0.227005871,0.238747554,0.243137255,0.233315682
chromium,top_n,1,0,bow_log,1598,11864,0.0168492,0.01853412,0.01769166,0.01600674,0.019392917,0.021079258,0.020236088,0.023608769,0.021922428,0.014333895,0.018965507
chromium,top_n,10,0,bow_log,1598,11864,0.080876158,0.089300758,0.094355518,0.088458298,0.096964587,0.07841484,0.086846543,0.10623946,0.091905565,0.087689713,0.090105144
chromium,top_n,1,5,bow_log,688,10092,0.027722772,0.024752475,0.022794846,0.019821606,0.023785927,0.028741328,0.028741328,0.021803766,0.019821606,0.021803766,0.023978942
chromium,top_n,10,5,bow_log,688,10092,0.107920792,0.107920792,0.111000991,0.083250743,0.112983152,0.113974232,0.112983152,0.117938553,0.112983152,0.10802775,0.108898331
chromium,top_n,1,10,bow_log,369,7977,0.023809524,0.028822055,0.030075188,0.037593985,0.020050125,0.036340852,0.036340852,0.035131744,0.028858218,0.023839398,0.030086194
chromium,top_n,10,10,bow_log,369,7977,0.13283208,0.140350877,0.147869674,0.137844612,0.165413534,0.149122807,0.145363409,0.171894605,0.127979925,0.13174404,0.145041556
chromium,top_n,1,20,bow_log,157,5109,0.045009785,0.043052838,0.037181996,0.076320939,0.045009785,0.02739726,0.043052838,0.045009785,0.048923679,0.043137255,0.045409616
