Model: pythia, Method types: ['logit', 'attns'], Dataset: fava_annot, Use toklens: False
Model: pythia, Method types: ['logit', 'attns'], Dataset: fava_annot, Use toklens: False
Model: pythia, Method types: ['logit', 'attns'], Dataset: fava_annot, Use toklens: False
Model: pythia, Method types: ['logit', 'attns'], Dataset: fava_annot, Use toklens: False
Model: pythia, Method types: ['logit', 'attns'], Dataset: fava_annot, Use toklens: False
Model: pythia, Method types: ['logit', 'attns'], Dataset: fava_annot, Use toklens: False
Model: pythia, Method types: ['logit', 'attns'], Dataset: fava_annot, Use toklens: False
Model: pythia, Method types: ['logit', 'attns'], Dataset: fava_annot, Use toklens: False
Model: pythia, Method types: ['logit', 'attns'], Dataset: fava_annot, Use toklens: False
Model: pythia, Method types: ['logit', 'attns'], Dataset: fava_annot, Use toklens: False
Model: pythia, Method types: ['logit', 'attns'], Dataset: fava_annot, Use toklens: False
