model,f1-score,dataset
gemma3,0.8210526315789474,bankruptcy
gpt-oss,0.8712121212121212,bankruptcy
mistral,0.8712121212121212,bankruptcy
qwen3,0.8210526315789474,bankruptcy
rt,0.7984189723320159,bankruptcy
rf-s,0.8583333333333334,bankruptcy
rf-ss,0.7424242424242424,bankruptcy
et-s,0.7984189723320159,bankruptcy
et-ss,0.7424242424242424,bankruptcy
xgb-s,0.6886446886446886,bankruptcy
xgb-ss,0.7984189723320159,bankruptcy
baseline,0.5824561403508772,bankruptcy
gemma3,0.9411764705882353,bankruptcy
gpt-oss,0.9411764705882353,bankruptcy
mistral,0.8819444444444444,bankruptcy
qwen3,0.8819444444444444,bankruptcy
rt,0.8819444444444444,bankruptcy
rf-s,0.8819444444444444,bankruptcy
rf-ss,0.8819444444444444,bankruptcy
et-s,0.8819444444444444,bankruptcy
et-ss,0.8819444444444444,bankruptcy
xgb-s,0.8819444444444444,bankruptcy
xgb-ss,0.8819444444444444,bankruptcy
baseline,0.8819444444444444,bankruptcy
gemma3,0.9328063241106719,bankruptcy
gpt-oss,0.8583333333333334,bankruptcy
mistral,0.8712121212121212,bankruptcy
qwen3,0.7984189723320159,bankruptcy
rt,0.8712121212121212,bankruptcy
rf-s,0.9328063241106719,bankruptcy
rf-ss,0.9328063241106719,bankruptcy
et-s,0.9328063241106719,bankruptcy
et-ss,0.9328063241106719,bankruptcy
xgb-s,0.8712121212121212,bankruptcy
xgb-ss,0.8583333333333334,bankruptcy
baseline,0.8712121212121212,bankruptcy
gemma3,0.8131868131868132,bankruptcy
gpt-oss,0.6886446886446886,bankruptcy
mistral,0.6886446886446886,bankruptcy
qwen3,0.6886446886446886,bankruptcy
rt,0.6357142857142857,bankruptcy
rf-s,0.7017543859649122,bankruptcy
rf-ss,0.7017543859649122,bankruptcy
et-s,0.7017543859649122,bankruptcy
et-ss,0.7017543859649122,bankruptcy
xgb-s,0.6357142857142857,bankruptcy
xgb-ss,0.7017543859649122,bankruptcy
baseline,0.6640316205533596,bankruptcy
gemma3,0.6357142857142857,bankruptcy
gpt-oss,0.6886446886446886,bankruptcy
mistral,0.6886446886446886,bankruptcy
qwen3,0.6886446886446886,bankruptcy
rt,0.6357142857142857,bankruptcy
rf-s,0.7017543859649122,bankruptcy
rf-ss,0.7017543859649122,bankruptcy
et-s,0.6357142857142857,bankruptcy
et-ss,0.6357142857142857,bankruptcy
xgb-s,0.6357142857142857,bankruptcy
xgb-ss,0.6357142857142857,bankruptcy
baseline,0.6886446886446886,bankruptcy
