model,f1-score,dataset
gemma3,0.6865203761755485,boxing1
gpt-oss,0.5054945054945055,boxing1
mistral,0.6448748991121873,boxing1
qwen3,0.636617749825297,boxing1
rt,0.6643783371472158,boxing1
rf-s,0.6581196581196581,boxing1
rf-ss,0.6643783371472158,boxing1
et-s,0.7619047619047619,boxing1
et-ss,0.7492163009404389,boxing1
xgb-s,0.7150997150997151,boxing1
xgb-ss,0.7023809523809523,boxing1
baseline,0.4666666666666667,boxing1
gemma3,0.6050032916392363,boxing1
gpt-oss,0.5943204868154158,boxing1
mistral,0.5523370638578011,boxing1
qwen3,0.6647324306898775,boxing1
rt,0.5733333333333334,boxing1
rf-s,0.6419437340153453,boxing1
rf-ss,0.6354166666666667,boxing1
et-s,0.7630019749835418,boxing1
et-ss,0.6419437340153453,boxing1
xgb-s,0.7474747474747474,boxing1
xgb-ss,0.5454545454545454,boxing1
baseline,0.6484110885733604,boxing1
gemma3,0.5333333333333333,boxing1
gpt-oss,0.41328731665228646,boxing1
mistral,0.4642857142857143,boxing1
qwen3,0.6865203761755485,boxing1
rt,0.7740112994350282,boxing1
rf-s,0.6893874029335634,boxing1
rf-ss,0.551337359792925,boxing1
et-s,0.7094430992736077,boxing1
et-ss,0.6643783371472158,boxing1
xgb-s,0.5803066989507668,boxing1
xgb-ss,0.7094430992736077,boxing1
baseline,0.5333333333333333,boxing1
gemma3,0.6865203761755485,boxing1
gpt-oss,0.6000000000000001,boxing1
mistral,0.6153846153846154,boxing1
qwen3,0.7252747252747254,boxing1
rt,0.7720797720797721,boxing1
rf-s,0.6238244514106583,boxing1
rf-ss,0.6033562166285278,boxing1
et-s,0.7381818181818182,boxing1
et-ss,0.7150997150997151,boxing1
xgb-s,0.8,boxing1
xgb-ss,0.7381818181818182,boxing1
baseline,0.6000000000000001,boxing1
gemma3,0.6448748991121873,boxing1
gpt-oss,0.6033562166285278,boxing1
mistral,0.6238244514106583,boxing1
qwen3,0.5833333333333334,boxing1
rt,0.6576695194206715,boxing1
rf-s,0.7254004576659039,boxing1
rf-ss,0.5636363636363637,boxing1
et-s,0.68,boxing1
et-ss,0.6581196581196581,boxing1
xgb-s,0.8222222222222222,boxing1
xgb-ss,0.68,boxing1
baseline,0.6666666666666667,boxing1
