model,f1-score,dataset
gemma3,0.8305555555555556,colic
gpt-oss,0.8159879336349924,colic
mistral,0.8203240058910162,colic
qwen3,0.8045280390107976,colic
rt,0.7861000070131146,colic
rf-s,0.8203240058910162,colic
rf-ss,0.7705329153605016,colic
et-s,0.8385231626610936,colic
et-ss,0.7767454954954955,colic
xgb-s,0.7783058428850993,colic
xgb-ss,0.8136111111111111,colic
baseline,0.7888250363497888,colic
gemma3,0.7897869674185464,colic
gpt-oss,0.7817870752002489,colic
mistral,0.7320305991062637,colic
qwen3,0.7945676843107109,colic
rt,0.8034522439585731,colic
rf-s,0.7795844625112918,colic
rf-ss,0.7324561403508771,colic
et-s,0.7665587282896673,colic
et-ss,0.7954268292682927,colic
xgb-s,0.7817870752002489,colic
xgb-ss,0.8429144891312581,colic
baseline,0.8124313639358665,colic
gemma3,0.7672907099964676,colic
gpt-oss,0.809645390070922,colic
mistral,0.8057190334418057,colic
qwen3,0.7595720720720721,colic
rt,0.7534984659133428,colic
rf-s,0.8465194296896841,colic
rf-ss,0.7984629749335632,colic
et-s,0.7612178325480247,colic
et-ss,0.7518760081352128,colic
xgb-s,0.7231205673758865,colic
xgb-ss,0.761252446183953,colic
baseline,0.7767040046855553,colic
gemma3,0.7061126166817224,colic
gpt-oss,0.7333916083916083,colic
mistral,0.6873856065597774,colic
qwen3,0.7258426966292135,colic
rt,0.7672907099964676,colic
rf-s,0.7534984659133428,colic
rf-ss,0.7276785714285714,colic
et-s,0.7505112474437627,colic
et-ss,0.768939393939394,colic
xgb-s,0.7660145761411584,colic
xgb-ss,0.7201627820939697,colic
baseline,0.7361754711152302,colic
gemma3,0.734764008696262,colic
gpt-oss,0.7887445887445887,colic
mistral,0.7789054005074303,colic
qwen3,0.8203240058910162,colic
rt,0.7767454954954955,colic
rf-s,0.7939189189189189,colic
rf-ss,0.755720823798627,colic
et-s,0.8080663615560641,colic
et-ss,0.8190038855528081,colic
xgb-s,0.7653846153846153,colic
xgb-ss,0.78280994089582,colic
baseline,0.755720823798627,colic
