model,f1-score,dataset
gpt-oss,0.5824561403508772,bankruptcy
gemma3,0.6222222222222222,bankruptcy
mistral,0.6136363636363636,bankruptcy
qwen3,0.4631578947368421,bankruptcy
autogluon,0.7058823529411765,bankruptcy
tabpfn,0.8583333333333334,bankruptcy
gpt-oss,0.575,bankruptcy
gemma3,0.6357142857142857,bankruptcy
mistral,0.7017543859649122,bankruptcy
qwen3,0.6458333333333333,bankruptcy
autogluon,0.9403508771929825,bankruptcy
tabpfn,0.8819444444444444,bankruptcy
gpt-oss,0.5502645502645502,bankruptcy
gemma3,0.7058823529411765,bankruptcy
mistral,0.6886446886446886,bankruptcy
qwen3,0.6886446886446886,bankruptcy
autogluon,0.7984189723320159,bankruptcy
tabpfn,0.8131868131868132,bankruptcy
gpt-oss,0.5096153846153846,bankruptcy
gemma3,0.7017543859649122,bankruptcy
mistral,0.6357142857142857,bankruptcy
qwen3,0.6886446886446886,bankruptcy
autogluon,0.7571428571428571,bankruptcy
tabpfn,0.7017543859649122,bankruptcy
gpt-oss,0.6640316205533596,bankruptcy
gemma3,0.6136363636363636,bankruptcy
mistral,0.6458333333333333,bankruptcy
qwen3,0.6886446886446886,bankruptcy
autogluon,0.7017543859649122,bankruptcy
tabpfn,0.6886446886446886,bankruptcy
