model,f1-score,dataset
gpt-oss,0.24242424242424243,boxing1
gemma3,0.5223130106851037,boxing1
mistral,0.4949494949494949,boxing1
qwen3,0.39849624060150374,boxing1
autogluon,0.7128205128205128,boxing1
tabpfn,0.7128205128205128,boxing1
gpt-oss,0.3939393939393939,boxing1
gemma3,0.5907928388746804,boxing1
mistral,0.5615731785944552,boxing1
qwen3,0.5733333333333334,boxing1
autogluon,0.5238095238095238,boxing1
tabpfn,0.6576695194206715,boxing1
gpt-oss,0.35,boxing1
gemma3,0.5247029393370857,boxing1
mistral,0.5682539682539682,boxing1
qwen3,0.40683430045132174,boxing1
autogluon,0.6865203761755485,boxing1
tabpfn,0.7492163009404389,boxing1
gpt-oss,0.3483709273182957,boxing1
gemma3,0.5488721804511278,boxing1
mistral,0.5523370638578011,boxing1
qwen3,0.41587301587301584,boxing1
autogluon,0.8156682027649769,boxing1
tabpfn,0.8545454545454545,boxing1
gpt-oss,0.37460913070669166,boxing1
gemma3,0.474671669793621,boxing1
mistral,0.5454545454545454,boxing1
qwen3,0.41587301587301584,boxing1
autogluon,0.7720797720797721,boxing1
tabpfn,0.8647734956051386,boxing1
