model,f1-score,dataset
gpt-oss,0.3490853658536585,colic
gemma3,0.2781065088757396,colic
mistral,0.38071065989847713,colic
qwen3,0.5043723748536804,colic
autogluon,0.7874725441187609,colic
tabpfn,0.840034965034965,colic
gpt-oss,0.30492045874953755,colic
gemma3,0.25153374233128833,colic
mistral,0.39901477832512317,colic
qwen3,0.44407622203811103,colic
autogluon,0.743530264588619,colic
tabpfn,0.8783275795934025,colic
gpt-oss,0.36241763235628266,colic
gemma3,0.2781065088757396,colic
mistral,0.38071065989847713,colic
qwen3,0.47186147186147187,colic
autogluon,0.698720347227419,colic
tabpfn,0.8302950435610221,colic
gpt-oss,0.3439369840187836,colic
gemma3,0.2781065088757396,colic
mistral,0.38071065989847713,colic
qwen3,0.45843422114608556,colic
autogluon,0.7515664160401003,colic
tabpfn,0.7660145761411584,colic
gpt-oss,0.3643362625398553,colic
gemma3,0.2947976878612717,colic
mistral,0.36787564766839376,colic
qwen3,0.47186147186147187,colic
autogluon,0.7923404255319149,colic
tabpfn,0.8175603503524888,colic
