model,f1-score,dataset
gpt-oss,0.5467032967032968,creditscore
gemma3,0.30192307692307696,creditscore
mistral,0.35414725069897485,creditscore
qwen3,0.27976190476190477,creditscore
autogluon,0.9666329625884732,creditscore
tabpfn,0.9666329625884732,creditscore
gpt-oss,0.7642857142857142,creditscore
gemma3,0.30303030303030304,creditscore
mistral,0.4327603640040445,creditscore
qwen3,0.2720588235294118,creditscore
autogluon,1.0,creditscore
tabpfn,1.0,creditscore
gpt-oss,0.5497076023391813,creditscore
gemma3,0.33272058823529416,creditscore
mistral,0.3612903225806452,creditscore
qwen3,0.3176691729323308,creditscore
autogluon,1.0,creditscore
tabpfn,1.0,creditscore
gpt-oss,0.6464285714285715,creditscore
gemma3,0.39338235294117646,creditscore
mistral,0.5416666666666666,creditscore
qwen3,0.3277777777777778,creditscore
autogluon,1.0,creditscore
tabpfn,1.0,creditscore
gpt-oss,0.7602905569007263,creditscore
gemma3,0.23963133640552994,creditscore
mistral,0.3418803418803419,creditscore
qwen3,0.17880184331797233,creditscore
autogluon,0.935672514619883,creditscore
tabpfn,0.935672514619883,creditscore
